,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr
197,19596,10883,33636,CA
198,23887,9318,34807,CA
199,3155,4248,7996,CA
200,86481,119164,217725,CA
201,12902,17446,32250,CA
202,6240,5752,13045,CA
203,2224,7574,10422,CA
204,1893770,620285,2652072,CA
205,13283,19221,34263,CA
206,69518,14214,88115,CA
207,3122,5185,8877,CA
208,6905,3571,11435,CA
209,21856,18486,42523,CA
210,798,2413,3359,CA
211,2696,2080,5154,CA
212,64733,26378,96676,CA
213,26161,11946,40393,CA
214,16199,14686,33258,CA
215,556544,472669,1092116,CA
216,61969,78977,150532,CA
217,3224,5079,8830,CA
218,300686,279072,609869,CA
219,273768,163024,467526,CA
220,8309,5530,14688,CA
221,304407,249103,585169,CA
222,567243,386807,1011651,CA
223,312443,34493,365295,CA
224,71349,56194,134076,CA
225,61021,50755,120296,CA
226,192035,47627,251646,CA
227,100120,53740,164224,CA
228,483472,137452,659148,CA
229,85185,20158,113509,CA
230,20471,47587,72554,CA
231,601,1048,1804,CA
232,7106,11212,19836,CA
233,94622,48712,152398,CA
234,116027,37421,164060,CA
235,73939,72960,156141,CA
236,11831,16780,30429,CA
237,6571,14981,22875,CA
238,1876,2409,4716,CA
239,27975,38062,69408,CA
240,8580,13486,23472,CA
241,170489,118764,307881,CA
242,34460,13178,50623,CA
243,7234,12313,21058,CA
244,86471,73807,175125,CO
245,3168,3031,6897,CO
246,148365,109638,281658,CO
247,2489,4234,7290,CO
248,278,1716,2107,CO
249,581,1166,1892,CO
250,124715,38766,176735,CO
251,19530,14272,37342,CO
252,4773,5283,10999,CO
253,127,905,1076,CO
254,2585,2426,5532,CO
255,1753,1885,3970,CO
256,1109,581,1820,CO
257,336,1069,1511,CO
258,797,2059,3064,CO
259,4048,11584,16661,CO
260,174611,43637,232291,CO
261,227,936,1230,CO
262,67045,100178,182918,CO
263,12652,8153,22611,CO
264,3056,11536,15689,CO
265,105807,176506,313273,CO
266,5275,15066,21880,CO
267,11205,13071,26328,CO
268,1634,1564,3574,CO
269,3319,4467,8513,CO
270,5068,3250,9299,CO
271,197,339,589,CO
272,1631,1875,3772,CO
273,171,628,862,CO
274,151885,130233,309529,CO
275,91,726,853,CO
276,526,2894,3613,CO
277,1600,1264,3175,CO
278,15300,12471,30722,CO
279,92170,82624,193897,CO
280,2614,3656,6693,CO
281,399,1873,2402,CO
282,1843,7272,9702,CO
283,20958,48129,74876,CO
284,237,344,652,CO
285,874,5293,6510,CO
286,3920,7771,12706,CO
287,5438,14303,21070,CO
288,3128,8104,11888,CO
289,1719,2988,5038,CO
290,1690,1337,3287,CO
291,3351,6053,10245,CO
292,436,1791,2332,CO
293,7239,2522,10387,CO
294,1173,3508,4978,CO
295,27945,27746,60112,CO
296,433,2782,3436,CO
297,1985,3060,5488,CO
298,7487,5149,13772,CO
299,1345,1109,2707,CO
300,265,215,506,CO
301,2960,1030,4311,CO
302,267,1015,1364,CO
303,9502,5064,16061,CO
304,3547,9580,14203,CO
305,289,2284,2708,CO
306,45869,75882,133790,CO
307,701,3755,4664,CO
308,238723,155457,410279,CT
309,233789,147912,399219,CT
310,39836,53376,97434,CT
311,45306,38847,88402,CT
312,203601,158373,375909,CT
313,62951,54574,124527,CT
314,38450,33989,77069,CT
315,21776,25738,50703,CT
316,260223,11553,280272,DC
317,33347,36989,74253,DE
318,162905,85507,261468,DE
319,39329,62607,105814,DE
320,75370,46584,127827,FL
321,2112,10294,12634,FL
322,21689,62010,87151,FL
323,2924,8913,12098,FL
324,119525,181620,314337,FL
325,546956,258521,822837,FL
326,1236,4647,6067,FL
327,33421,60196,96323,FL
328,22765,54377,79590,FL
329,27768,74898,106363,FL
330,60941,105297,170505,FL
331,7599,20359,28696,FL
332,3761,6744,10761,FL
333,1270,5822,7202,FL
334,203627,210061,428734,FL
335,57114,88370,151609,FL
336,21985,33804,57413,FL
337,1738,4119,6003,FL
338,14994,6721,22079,FL
339,1457,6740,8418,FL
340,1271,2996,4355,FL
341,1715,5320,7279,FL
342,1899,3439,5451,FL
343,2147,5238,7577,FL
344,4610,6192,11106,FL
345,31818,59029,93878,FL
346,14901,29509,45589,FL
347,306422,265928,595072,FL
348,852,7476,8506,FL
349,28997,48564,79897,FL
350,6383,14231,20997,FL
351,3537,3930,7641,FL
352,515,2795,3375,FL
353,62597,101888,169898,FL
354,124725,191141,325797,FL
355,91936,53777,151925,FL
356,5091,13758,19367,FL
357,651,2542,3295,FL
358,3526,4849,8503,FL
359,71066,101681,178521,FL
360,61958,107710,174485,FL
361,30158,53182,85741,FL
362,623006,333666,978670,FL
363,18949,21885,42434,FL
364,10849,34221,46537,FL
365,23711,71788,100657,FL
366,3953,9342,13632,FL
367,329579,195091,545800,FL
368,85287,50252,139981,FL
369,371411,270762,657235,FL
370,89998,141943,240814,FL
371,233327,238746,491520,FL
372,117182,157216,283828,FL
373,9920,21873,32652,FL
374,18398,65126,87432,FL
