"Candidate", Party,
"Rubio, Marco", Republican,
"Santorum, Richard J.", Republican,
"Perry, James R. (Rick)", Republican,
"Carson, Benjamin S.", Republican,
"Cruz, Rafael Edward 'Ted'", Republican,
"Paul, Rand", Republican,
"Clinton, Hillary Rodham", Republican,
